close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
2,0.001,0.007,0.001,0.001,-4.712599570612346
2,0.001,0.004,0.001,0.001,-4.712599570612346
2,0.001,0.003,0.001,0.001,-4.712599570612346
2,0.001,0.005,0.001,0.001,-4.712599570612346
2,0.001,0.002,0.001,0.001,-4.712599570612346
2,0.001,0.008,0.001,0.001,-4.712599570612346
2,0.001,0.006,0.001,0.001,-4.712599570612346
2,0.001,0.001,0.001,0.001,-4.712599570612346
2,0.001,0.003,0.001,0.005,-4.680931899962578
2,0.001,0.008,0.001,0.005,-4.680931899962578
2,0.001,0.002,0.001,0.005,-4.680931899962578
2,0.001,0.001,0.001,0.005,-4.680931899962578
2,0.001,0.007,0.001,0.005,-4.680931899962578
2,0.001,0.005,0.001,0.005,-4.680931899962578
2,0.001,0.004,0.001,0.005,-4.680931899962578
2,0.001,0.006,0.001,0.005,-4.680931899962578
1,0.001,0.002,0.001,0.005,-4.665120747214814
1,0.001,0.008,0.001,0.005,-4.665120747214814
1,0.001,0.004,0.001,0.005,-4.665120747214814
1,0.001,0.007,0.001,0.005,-4.665120747214814
1,0.001,0.001,0.001,0.005,-4.665120747214814
1,0.001,0.006,0.001,0.005,-4.665120747214814
1,0.001,0.005,0.001,0.005,-4.665120747214814
1,0.001,0.003,0.001,0.005,-4.665120747214814
1,0.001,0.003,0.001,0.001,-4.627046063948114
1,0.001,0.008,0.001,0.001,-4.627046063948114
1,0.001,0.004,0.001,0.001,-4.627046063948114
1,0.001,0.007,0.001,0.001,-4.627046063948114
1,0.001,0.006,0.001,0.001,-4.627046063948114
1,0.001,0.001,0.001,0.001,-4.627046063948114
1,0.001,0.005,0.001,0.001,-4.627046063948114
1,0.001,0.002,0.001,0.001,-4.627046063948114
2,0.001,0.001,0.001,0.003,-4.456504574354122
2,0.001,0.004,0.001,0.003,-4.456504574354122
2,0.001,0.007,0.001,0.003,-4.456504574354122
2,0.001,0.008,0.001,0.003,-4.456504574354122
2,0.001,0.003,0.001,0.003,-4.456504574354122
2,0.001,0.006,0.001,0.003,-4.456504574354122
2,0.001,0.002,0.001,0.003,-4.456504574354122
2,0.001,0.005,0.001,0.003,-4.456504574354122
1,0.001,0.004,0.001,0.003,-4.4547289965316095
