,0
Start,2024-07-09 05:00:00
End,2024-11-15 23:45:00
Duration,129 days 18:45:00
Exposure Time [%],12.7
Equity Final [$],309.5973184451607
Equity Peak [$],311.0096507378308
Return [%],3.199106148386894
Buy & Hold Return [%],-2.6074498567335307
Return (Ann.) [%],8.808581042303398
Volatility (Ann.) [%],2.4929384204544545
Sharpe Ratio,3.5334130077298993
Sortino Ratio,8.974576255012797
Calmar Ratio,9.992983656702695
Max. Drawdown [%],-0.8814765784586398
Avg. Drawdown [%],-0.10539614291878599
Max. Drawdown Duration,12 days 18:15:00
Avg. Drawdown Duration,0 days 17:34:00
# Trades,29
Win Rate [%],58.620689655172406
Best Trade [%],0.6003651238405294
Worst Trade [%],-0.22458325304276494
Avg. Trade [%],0.10890107823988693
Max. Trade Duration,2 days 14:30:00
Avg. Trade Duration,0 days 16:14:00
Profit Factor,2.288900517483482
Expectancy [%],0.1093349566311605
SQN,1.9431168050607643
_strategy,"MyStrategy(close_days=2,sl_perc=0.002,tp_perc=0.001,buy_threshold=0.003,sell_threshold=0.004)"
_equity_curve,"                         Equity  DrawdownPct DrawdownDuration
2024-07-09 05:00:00  300.000000     0.000000              NaT
2024-07-09 05:15:00  300.000000     0.000000              NaT
2024-07-09 05:30:00  300.000000     0.000000              NaT
2024-07-09 05:45:00  300.000000     0.000000              NaT
2024-07-09 06:00:00  300.000000     0.000000              NaT
...                         ...          ...              ...
2024-11-15 22:45:00  309.597318     0.004541              NaT
2024-11-15 23:00:00  309.597318     0.004541              NaT
2024-11-15 23:15:00  309.597318     0.004541              NaT
2024-11-15 23:30:00  309.597318     0.004541              NaT
2024-11-15 23:45:00  309.597318     0.004541  9 days 21:45:00

[9000 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice       PnL  ReturnPct           EntryTime            ExitTime        Duration
0    273      2635     2755    1.096239   1.101457  1.424500   0.004760 2024-08-15 15:45:00 2024-08-16 21:45:00 1 days 06:00:00
1   -269      3041     3114    1.116837   1.112538  1.156374   0.003849 2024-08-21 21:15:00 2024-08-22 15:30:00 0 days 18:15:00
2   -271      3217     3220    1.116237   1.118693 -0.665633  -0.002200 2024-08-23 17:15:00 2024-08-23 18:00:00 0 days 00:45:00
3   -269      3221     3245    1.118726   1.118690  0.009740   0.000032 2024-08-23 18:15:00 2024-08-26 00:15:00 2 days 06:00:00
4   -269      3246     3439    1.118526   1.118250  0.074311   0.000247 2024-08-26 00:30:00 2024-08-28 00:45:00 2 days 00:15:00
5   -270      3440     3488    1.117976   1.113054  1.329011   0.004403 2024-08-28 01:00:00 2024-08-28 13:00:00 0 days 12:00:00
6    273      3577     3601    1.108892   1.106463 -0.663143  -0.002191 2024-08-29 11:15:00 2024-08-29 17:15:00 0 days 06:00:00
7    273      4175     4178    1.107541   1.110833  0.898621   0.002972 2024-09-06 16:45:00 2024-09-06 17:30:00 0 days 00:45:00
8    275      4459     4575    1.101020   1.105087  1.118448   0.003694 2024-09-11 15:45:00 2024-09-12 20:45:00 1 days 05:00:00
9   -272      5021     5035    1.117037   1.112751  1.165607   0.003836 2024-09-19 12:15:00 2024-09-19 15:45:00 0 days 03:30:00
10  -273      5107     5165    1.117277   1.116170  0.302074   0.000990 2024-09-20 09:45:00 2024-09-23 00:15:00 2 days 14:30:00
11  -274      5351     5381    1.117107   1.119555 -0.670781  -0.002191 2024-09-24 22:45:00 2024-09-25 06:15:00 0 days 07:30:00
12  -272      5382     5435    1.119486   1.113302  1.681932   0.005524 2024-09-25 06:30:00 2024-09-25 19:45:00 0 days 13:15:00
13  -274      5526     5589    1.117227   1.112921  1.179716   0.003854 2024-09-26 18:30:00 2024-09-27 10:15:00 0 days 15:45:00
14  -275      5611     5645    1.118016   1.115490  0.694747   0.002260 2024-09-27 15:45:00 2024-09-30 00:15:00 2 days 08:30:00
15  -276      5689     5691    1.118096   1.120567 -0.681809  -0.002209 2024-09-30 11:15:00 2024-09-30 11:45:00 0 days 00:30:00
16  -275      5692     5719    1.120256   1.113530  1.849547   0.006004 2024-09-30 12:00:00 2024-09-30 18:45:00 0 days 06:45:00
17   282      6091     6125    1.096949   1.096590 -0.101336  -0.000328 2024-10-04 15:45:00 2024-10-07 00:15:00 2 days 08:30:00
18   286      6957     7050    1.082126   1.085300  0.907724   0.002933 2024-10-17 16:15:00 2024-10-18 15:30:00 0 days 23:15:00
19   285      8241     8242    1.089598   1.087221 -0.677353  -0.002181 2024-11-06 02:15:00 2024-11-06 02:30:00 0 days 00:15:00
20   285      8243     8244    1.085097   1.082710 -0.680220  -0.002200 2024-11-06 02:45:00 2024-11-06 03:00:00 0 days 00:15:00
21   286      8249     8249    1.080676   1.078259 -0.691243  -0.002236 2024-11-06 04:15:00 2024-11-06 04:15:00 0 days 00:00:00
22   286      8250     8252    1.078396   1.075974 -0.692662  -0.002246 2024-11-06 04:30:00 2024-11-06 05:00:00 0 days 00:30:00
23   287      8255     8258    1.072034   1.077396  1.538685   0.005001 2024-11-06 05:45:00 2024-11-06 06:30:00 0 days 00:45:00
24   288      8265     8266    1.073135   1.070774 -0.679802  -0.002200 2024-11-06 08:15:00 2024-11-06 08:30:00 0 days 00:15:00
25   288      8267     8269    1.071424   1.074449  0.871232   0.002823 2024-11-06 08:45:00 2024-11-06 09:15:00 0 days 00:30:00
26   292      8780     8780    1.058692   1.056353 -0.682882  -0.002209 2024-11-13 17:00:00 2024-11-13 17:00:00 0 days 00:00:00
27   292      8781     8831    1.056841   1.054507 -0.681693  -0.002209 2024-11-13 17:15:00 2024-11-14 05:45:00 0 days 12:30:00
28   293      8897     8939    1.052270   1.055559  0.963605   0.003125 2024-11-14 22:15:00 2024-11-15 08:45:00 0 days 10:30:00"
